Total allocated: 47845126 bytes (355066 objects)
Total retained:  14703815 bytes (111603 objects)

allocated memory by gem
-----------------------------------
    162680  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/gems/3.1.0/gems/rake-13.0.6/lib/rake/file_list.rb
    159590  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/forwardable.rb
    152355  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/x86_64-linux/openssl.so
    150292  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendored_fileutils.rb
    146560  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/file_update_checker.rb
    142544  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/index.rb
    132240  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/gem_helpers.rb
    128087  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/dependencies/autoload.rb
    128078  /usr/share/rvm/gems/ruby-3.1.2/gems/reline-0.3.1/lib/reline/unicode/east_asian_width.rb

allocated memory by location
-----------------------------------
  10467934  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/compile_cache/iseq.rb:60
   4218564  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/compile_cache/iseq.rb:49
   2316721  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems.rb:783
   1049144  /usr/share/rvm/gems/ruby-3.1.2/gems/activerecord-7.0.4/lib/active_record/connection_adapters/abstract/connection_pool/reaper.rb:40
   1049128  /usr/share/rvm/gems/ruby-3.1.2/gems/debug-1.5.0/lib/debug/session.rb:144
    883828  <internal:/usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/core_ext/kernel_require.rb>:85
    661200  /usr/share/rvm/gems/ruby-3.1.2/gems/railties-7.0.4/lib/rails/initializable.rb:50
    624295  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/specification.rb:1123
    610271  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/core_ext/kernel_require.rb:30
    473673  /usr/share/rvm/gems/ruby-3.1.2/gems/msgpack-1.5.6/lib/msgpack.rb:31
    378668  <internal:trace_point>:369
    360534  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/core_ext/module/delegation.rb:238
    354406  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/inflector/methods.rb:100
    310752  /usr/share/rvm/gems/ruby-3.1.2/gems/debug-1.5.0/lib/debug/thread_client.rb:190
    264702  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/core_ext/class/attribute.rb:127
    263552  /usr/share/rvm/gems/ruby-3.1.2/gems/sprockets-4.1.1/lib/sprockets/utils.rb:35
    229472  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/cache.rb:119
    227996  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/stub_specification.rb:118
    227800  /usr/share/rvm/gems/ruby-3.1.2/gems/sprockets-4.1.1/lib/sprockets/utils.rb:37
    221851  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/cache.rb:222
    217819  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/forwardable/impl.rb:12
    217024  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/set.rb:246
    157760  /usr/share/rvm/gems/ruby-3.1.2/gems/tzinfo-2.0.5/lib/tzinfo/data_sources/zoneinfo_data_source.rb:504
    152355  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/x86_64-linux/openssl.so:0
    150292  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendored_fileutils.rb:4
    150031  /usr/share/rvm/gems/ruby-3.1.2/gems/debug-1.5.0/lib/debug/session.rb:1585
    144802  /usr/share/rvm/gems/ruby-3.1.2/gems/actionview-7.0.4/lib/action_view/ripper_ast_parser.rb:129
    134640  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/settings.rb:99
    131578  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/inflector/methods.rb:98
    129880  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/set.rb:288
    128216  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/version.rb:400
    125658  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/stub_specification.rb:36
    123844  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/uri/lib/uri.rb:96
    116136  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/requirement.rb:105
    114784  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/loaded_features_index.rb:28
    113064  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/gems/3.1.0/gems/rake-13.0.6/lib/rake/file_list.rb:76
    110016  (eval):3
     97760  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/platform.rb:130
     95655  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/core_ext/module/delegation.rb:230
     94416  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/settings.rb:317
     93744  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/settings.rb:491
     89371  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/cache.rb:206
     88499  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/uri/lib/uri.rb:95
     86320  /usr/share/rvm/gems/ruby-3.1.2/gems/debug-1.5.0/lib/debug/thread_client.rb:752
     85072  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/version.rb:401
     84527  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/forwardable.rb:215
     84152  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/forwardable/impl.rb:4
     83141  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/lockfile_parser.rb:71
     82352  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/requirement.rb:193
     81647  /usr/share/rvm/gems/ruby-3.1.2/gems/sprockets-4.1.1/lib/sprockets/mime.rb:62

allocated memory by class
-----------------------------------
  23730107  String
   5677176  Array
   3363608  Class
   3296336  File
   2983864  Hash
   2098032  Thread
   1687632  RubyVM::InstructionSequence
   1287214  Regexp
   1176808  MatchData
    834648  Module
    492720  Proc
    113496  Thread::Backtrace
     76024  Time
     62280  Range
     45576  Thread::Backtrace::Location
     41584  Gem::Specification
     41344  Enumerator
     40240  Symbol
     36200  Set
     36000  Gem::StubSpecification
     31544  Rails::Initializable::Initializer
     31096  File::Stat
     30696  Rails::Paths::Path
     29800  Rational
     28440  UnboundMethod
     28200  Gem::Requirement
     26360  Sprockets::ProcessorUtils::CompositeProcessor
     23496  Gem::StubSpecification::StubLine
     23120  Gem::Dependency
     22832  TZInfo::CountryTimezone
     20456  Bundler::StubSpecification
     19296  Racc::CparseParams
     18440  ActionDispatch::Journey::Nodes::Cat
     17640  Thread::Mutex
     13984  Struct::HTMLElementDescription
     13960  Bundler::DepProxy
     12320  StringScanner
     12208  Bootsnap::LoadPathCache::Path
     11088  Binding
     10944  Bundler::LazySpecification
     10736  ActionDispatch::Journey::Route
     10360  Gem::Platform
     10208  ActionDispatch::Routing::Mapper::Mapping
      9960  TZInfo::DataSources::CountryInfo
      9792  Bundler::Dependency
      9704  ActiveRecord::AttributeMethods::GeneratedAttributeMethods
      9680  ActiveSupport::Callbacks::CallbackChain
      8752  ActiveSupport::OrderedOptions
      8192  Dir
      8080  ActionDispatch::Journey::Nodes::Slash

allocated objects by gem
-----------------------------------
     66223  bootsnap-1.12.0
     54086  bundler-2.3.14
     48015  rubygems
     35222  activesupport-7.0.4
